OTU_ID	baseMean	estimate	stderror	statistic	p.value	p.adjusted	TemporalEnrichment	VC	VC.Status	ClstrComp	Order	Family	Genus	HostPhylum	HostClass	HostOrder	HostFamily	HostGenus
biochar_2087	360.795203884605	9.8343431219305	1.92443971077444	5.11023705594441	3.21754834517458e-07	1.02780863985167e-06	Apr	711_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2091	259.608294263391	-10.3467237226434	3.05727469825488	-3.38429638937887	0.00071360924739432	0.0015329383832915	Aug	91_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2092	3001.71980031046	-1.16325086831457	0.233583765453955	-4.9800159101548	6.35790461609047e-07	1.98802133767396e-06	Aug	285_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2093	1318.43825748352	-13.7091177444976	0.96227125693191	-14.2466249986594	4.70475311087368e-46	4.79884817309116e-44	Aug	516_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2094	190.626768827767	-27.9036161344224	3.11064600746663	-8.97036051914749	2.95545480439298e-19	2.98369805849639e-18	Aug		Singleton	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2095	480.303789947322	-12.2414020544847	1.11019477659985	-11.0263552959382	2.85189871801929e-28	8.35239248307037e-27	Aug	178_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2098	262.818352925998	6.57366947108259	2.47245966897143	2.65875700767945	0.00784295062657278	0.01463687568038	Apr		Singleton	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2100	577.079611920409	3.18839896312485	1.37085240166268	2.3258513894404	0.0200264800444856	0.0352189821471989	Apr	783_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2101	267.623610408784	11.5001326374283	1.2780220762415	8.99838340136406	2.29065629565151e-19	2.35269490365874e-18	Apr	784_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2104	506.145992160894	-11.9974183914034	1.79722395713389	-6.67552774587771	2.46344050395602e-11	1.02487440375554e-10	Aug	207_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2107	192.39700853408	9.23255701938683	3.05587099594195	3.02125221635573	0.00251731578922667	0.00502444001655363	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2108	367.67641710197	12.2529251925606	2.23042721930147	5.49353284721751	3.93971789259395e-08	1.36460017872282e-07	Apr	145_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
