OTU_ID	baseMean	estimate	stderror	statistic	p.value	p.adjusted	SpatialEnrichment	TemporalEnrichment	VC	VC.Status	ClstrComp	Order	Family	Genus	HostPhylum	HostClass	HostOrder	HostFamily	HostGenus
biochar_1192	402.839976515766	-6.53604896926272	1.38738466694852	-4.71105752065029	2.46434662880113e-06	1.5186536099987e-05	West-Enriched	NS		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1203	97.4406421953112	6.35986721913987	1.57231860027307	4.04489727338678	5.23460721128043e-05	0.000248938394388545	East-Enriched	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1205	1850.18744106087	6.81281534314198	1.5232704253997	4.47249236218469	7.73131625554357e-06	4.50181761494053e-05	East-Enriched	NS	672_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1209	309.853521721034	3.70448629905994	1.54684805255217	2.39486114550673	0.016626660483105	0.0478420833745375	East-Enriched	Aug	354_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1211	1037.88761547612	2.91063981025851	0.926399111373309	3.14188536509252	0.00167863744433	0.00575366113595381	East-Enriched	NS	191_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1213	172.260876315734	-14.5805822484404	1.57231524752326	-9.27331988378794	1.80440283973737e-20	5.50249855664241e-19	West-Enriched	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1215	767.768861445117	-2.40693153845093	0.853930213712925	-2.81865133684109	0.00482258712166448	0.0154051973065697	West-Enriched	Aug	121_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1229	3350.30086640417	0.438363929490938	0.126795843450626	3.4572421111078	0.00054573430373295	0.00198071419686143	East-Enriched	Apr	280_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1240	233.776908892413	6.54228991442043	1.55110745957592	4.21781861342419	2.46677123197903e-05	0.000132245596513808	East-Enriched	NS	519_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1245	508.191692468174	-11.020801152702	1.34549749617747	-8.19087451594064	2.59334864958901e-16	4.64916685180866e-15	West-Enriched	NS	759_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1247	1046.77581806367	6.65860634257167	0.515670807693474	12.9125136486875	3.82604139016362e-38	3.42952437336485e-36	East-Enriched	NS		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1252	640.879052266302	3.8394048792459	0.945973973605006	4.0586791881962	4.93510571916882e-05	0.000236597126698563	East-Enriched	Aug	361_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1253	139.287056603446	6.40579994814023	1.57231732993796	4.07411393754275	4.61898655889816e-05	0.000225089987499518	East-Enriched	Apr		Singleton	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1260	209.603668044511	-9.7691188517579	1.5688823671611	-6.22680135632807	4.76054075217024e-10	4.06984957945652e-09	West-Enriched	Apr	145_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1263	115.092896509889	-12.8535216861287	1.57678037454132	-8.15175143834966	3.58690966312985e-16	6.24122281384594e-15	West-Enriched	Apr	593_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1266	348.444447399175	5.76873272638883	1.44754975479225	3.98517060107321	6.74316607828643e-05	0.000292860594393056	East-Enriched	NS	694_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1267	1103.68179782293	0.999245760318165	0.41795072879734	2.39082191145715	0.0168107048643597	0.0482777329988116	East-Enriched	Apr	385_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1276	234.919241147096	4.75554231698107	1.52021027894496	3.12821349970181	0.00175872378512345	0.00600035173748002	East-Enriched	NS	553_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1279	139.997458332266	6.30943371439587	1.57231644959906	4.01282688100399	5.99959140533057e-05	0.00027514405235609	East-Enriched	Aug		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1284	285.202804784823	9.06332769695047	1.36828163844548	6.62387584711539	3.49900679343157e-11	3.67023478545056e-10	East-Enriched	Aug	113_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
