,VC,Size,Internal Weight,External Weight,Quality,P-value,Min Dist,Max Dist,Total Dist,Below Thres,Taxon Prediction Score,Avg Dist,Genera,Families,Orders,Members
184,VC_257_1,3,900.0,7566.231083871669,0.10630468163271814,0.015316972437656349,4.795831523312719,7.483314773547883,3,3,1.0,6.32911674311999,2,1,1,"Erwinia~phage~phiEaH2,Erwinia~phage~vB_EamM_Asesino,Salmonella~phage~SPN3US"
185,VC_257_2,3,900.0,7609.5304012247825,0.10576376810058312,0.013404141727625675,4.69041575982343,6.855654600401044,3,3,1.0,6.034502961508825,1,1,1,"Erwinia~phage~vB_EamM_Caitlin,Erwinia~phage~vB_EamM_ChrisDB,Erwinia~phage~vB_EamM_Huxley"
186,VC_258_0,2,147.71217969158715,1289.3012619177243,0.10279109117181554,0.05057366176682355,7.14142842854285,7.14142842854285,1,1,1.0,7.14142842854285,2,1,1,"Pseudomonas~phage~EL,Pseudomonas~phage~OBP"
187,VC_259_0,6,103.64063605872974,192.97975611835955,0.349404959308576,2.4421071318828773e-06,3.1622776601683795,6.082762530298219,15,15,1.0,4.6082839586423585,1,1,1,"biochar_1274,biochar_2613,biochar_3446,biochar_4137,biochar_4468,biochar_784"
188,VC_25_0,2,300.0,997.4537832068745,0.23122210893593428,0.046420117490626675,2.449489742783178,2.449489742783178,1,1,1.0,2.449489742783178,1,1,1,"Bacillus~phage~CampHawk,Bacillus~virus~SPO1"
189,VC_25_1,3,900.0,843.1314479105561,0.5163121812063028,0.002155751312496563,2.6457513110645907,5.830951894845301,3,3,1.0,4.68148918957997,1,1,1,"Bacillus~phage~CP-51,Bacillus~phage~JL,Bacillus~phage~Shanette"
190,VC_260_0,8,3073.9205820322013,1051.9166744428687,0.7450416463247562,3.845650081414191e-14,3.1622776601683795,8.12403840463596,28,28,1.0,5.933422316718294,1,2,2,"Enterococcus~phage~Ec-ZZ2,Enterococcus~phage~EfaCPT1,Enterococcus~phage~IME-EF4,Enterococcus~phage~IME-EFm1,Enterococcus~phage~IME-EFm5,Enterococcus~phage~IME_EF3,Enterococcus~phage~SANTOR1,Enterococcus~phage~vB_EfaS_IME196"
191,VC_261_0,3,502.9903650676065,93.5916874954923,0.8431201758527702,0.0038799360548619796,0.0,6.855654600401044,3,3,1.0,4.570436400267362,2,2,2,"Gordonia~phage~Gsput1,Gordonia~phage~Splinter,Gordonia~phage~Vendetta"
192,VC_262_0,2,292.0058587447802,2201.051442131953,0.11712761621728089,0.05115636584807409,1.7320508075688772,1.7320508075688772,1,1,1.0,1.7320508075688772,1,1,1,"Gordonia~phage~Demosthenes,Gordonia~phage~Kvothe"
193,VC_262_1,7,3654.6406990146615,3536.7354277786276,0.5081976849185198,8.221407898656424e-13,1.0,9.38083151964686,21,13,0.6190476190476191,7.589712403173392,3,2,1,"Gordonia~phage~GMA7,Gordonia~phage~GTE7,Gordonia~phage~Hotorobo,Gordonia~phage~Monty,Gordonia~phage~Woes,Tsukamurella~phage~TIN2,Tsukamurella~phage~TIN3"
194,VC_263_0,2,57.42599964866672,81.45153059081306,0.4135010145243913,0.06289321231947,1.4142135623730951,1.4142135623730951,1,1,1.0,1.4142135623730951,1,1,1,"biochar_4807,biochar_4860"
195,VC_264_0,2,56.28305949006129,124.93454634988669,0.3105827341068102,0.05369667290948578,7.211102550927978,7.211102550927978,1,1,1.0,7.211102550927978,1,1,1,"biochar_264,biochar_318"
196,VC_265_0,2,58.460434590046475,44.65693004742055,0.5669310381968902,0.14442218317324246,2.8284271247461903,2.8284271247461903,1,1,1.0,2.8284271247461903,1,1,1,"biochar_2191,biochar_2253"
197,VC_266_0,3,180.02005073928365,165.74275835828422,0.5206460787646057,0.0033999287470273115,7.0,7.810249675906654,3,3,1.0,7.431188149818179,1,1,1,"Streptomyces~phage~SF1,Streptomyces~phage~SF3,Streptomyces~phage~VWB"
198,VC_267_0,7,363.9096244914085,130.9714852938467,0.7353475760053167,6.205973425197723e-07,1.0,5.0,21,21,1.0,4.158499983925957,1,1,1,"biochar_1868,biochar_3346,biochar_3707,biochar_3863,biochar_4403,biochar_5254,biochar_6072"
199,VC_269_0,2,11.96782701052712,111.33980869187481,0.09705665786513817,0.08258408158231173,5.196152422706632,5.196152422706632,1,1,1.0,5.196152422706632,1,1,1,"biochar_1775,biochar_2077"
200,VC_26_0,2,62.392360657470824,214.0170741808107,0.22572442468895693,0.04925461682974889,8.660254037844387,8.660254037844387,1,1,1.0,8.660254037844387,1,1,1,"Gordonia~phage~BritBrat,Gordonia~phage~GAL1"
201,VC_26_1,5,150.9667437174772,229.54698338243432,0.39674454025107436,0.002689332855850298,2.8284271247461903,6.708203932499369,10,10,1.0,5.490029311526229,1,1,1,"biochar_1323,biochar_1454,biochar_1480,biochar_2977,biochar_3286"
202,VC_270_0,3,22.42177070655768,176.30116733774594,0.11282930358829002,0.013668849375260634,1.4142135623730951,3.3166247903554,3,3,1.0,2.5769461175761648,1,1,1,"biochar_3731,biochar_4060,biochar_4741"
203,VC_271_0,5,117.68668347103063,146.4536450074571,0.445546063143536,0.000483027472083215,4.0,7.0,10,10,1.0,5.566273965043804,1,1,1,"biochar_1184,biochar_1411,biochar_1606,biochar_1743,biochar_3077"
204,VC_272_0,4,1204.7123688349889,532.0558910356419,0.6936517649883388,3.3752780508926836e-05,3.3166247903554,8.54400374531753,6,6,1.0,6.626689512596934,2,1,1,"Brevibacillus~phage~Abouo,Brevibacillus~phage~Davies,Brevibacillus~phage~Jimmer1,Brevibacillus~phage~Osiris"
205,VC_273_0,13,22145.59508111581,3498.4183835564227,0.8635775796805004,2.1086491680416204e-27,1.0,3.872983346207417,78,78,1.0,2.847413976702679,2,1,1,"Pseudomonas~phage~14-1,Pseudomonas~phage~DL60,Pseudomonas~phage~DL68,Pseudomonas~phage~F8,Pseudomonas~phage~JG024,Pseudomonas~phage~KPP12,Pseudomonas~phage~LBL3,Pseudomonas~phage~LMA2,Pseudomonas~phage~NH-4,Pseudomonas~phage~PB1,Pseudomonas~phage~SN,Pseudomonas~phage~vB_PaeM_PAO1_Ab27,Pseudomonas~phage~vB_Pae_PS44"
206,VC_274_0,4,1800.0,454.8563973122673,0.7982769998770455,3.9590787821472324e-05,2.449489742783178,5.830951894845301,6,6,1.0,4.457940232303276,2,2,2,"Campylobacter~phage~CP30A,Campylobacter~phage~PC14,Campylobacter~virus~CPX,Campylobacter~virus~NCTC12673"
207,VC_275_0,2,155.7709230940373,185.42433572733663,0.45654480555249477,0.05115636584807409,3.0,3.0,1,1,1.0,3.0,1,1,1,"Vibrio~phage~ICP2,Vibrio~phage~ICP2_2013_A_Haiti"
208,VC_276_0,3,110.4566286982969,308.9823732655115,0.26334372383383586,0.002180683040844766,1.7320508075688772,2.8284271247461903,3,3,1.0,2.2655153032716187,1,1,1,"biochar_3235,biochar_4758,biochar_4843"
209,VC_277_0,3,62.807034455870735,274.590823506051,0.18615125429444504,0.0037862883979885974,6.928203230275509,8.48528137423857,3,3,1.0,7.926694956618277,1,1,1,"Gordonia~phage~Ghobes,biochar_40,biochar_745"
210,VC_278_0,14,27055.974981098596,5029.390219978682,0.8432497124947851,5.346084217564177e-27,1.0,8.94427190999916,91,91,1.0,7.383396386266105,2,2,2,"Escherichia~phage~slur09,Escherichia~phage~vB_EcoS_FFH1,Escherichia~virus~AKFV33,Escherichia~virus~DT57C,Escherichia~virus~EPS7,Escherichia~virus~T5,Salmonella~phage~100268_sal2,Salmonella~phage~118970_sal2,Salmonella~phage~NR01,Salmonella~phage~Shivani,Salmonella~virus~SPC35,Salmonella~virus~Stitch,Shigella~phage~SHSML-45,Yersinia~phage~phiR201"
211,VC_279_0,2,0,163.50733216546115,0.0,0.0,7.810249675906654,7.810249675906654,1,1,1.0,7.810249675906654,1,1,1,"biochar_1596,biochar_2455"
