contig	Length	B0H_BULK_S142_L006.vir.sortedIndexed.bam	B0H_BULK_S59_L006.vir.sortedIndexed.bam	B0H_VFD_S134_L006.vir.sortedIndexed.bam	B0H_VFD_S52_L006.vir.sortedIndexed.bam	B0L_BULK_S141_L006.vir.sortedIndexed.bam	B0L_BULK_S58_L006.vir.sortedIndexed.bam	B0L_VFD_S133_L006.vir.sortedIndexed.bam	B0L_VFD_S51_L006.vir.sortedIndexed.bam	B2R2H_BULK_S144_L006.vir.sortedIndexed.bam	B2R2H_BULK_S61_L006.vir.sortedIndexed.bam	B2R2H_VFD_S136_L006.vir.sortedIndexed.bam	B2R2H_VFD_S54_L006.vir.sortedIndexed.bam	B2R2L_BULK_S143_L006.vir.sortedIndexed.bam	B2R2L_BULK_S60_L006.vir.sortedIndexed.bam	B2R2L_VFD_S135_L006.vir.sortedIndexed.bam	B2R2L_VFD_S53_L006.vir.sortedIndexed.bam	B3R2H_BULK_S146_L006.vir.sortedIndexed.bam	B3R2H_BULK_S65_L006.vir.sortedIndexed.bam	B3R2H_VFD_S138_L006.vir.sortedIndexed.bam	B3R2H_VFD_S55_L006.vir.sortedIndexed.bam	B3R2L_BULK_S145_L006.vir.sortedIndexed.bam	B3R2L_BULK_S62_L006.vir.sortedIndexed.bam	B3R2L_VFD_S137_L006.vir.sortedIndexed.bam	B8R2H_BULK_S148_L006.vir.sortedIndexed.bam	B8R2H_BULK_S63_L006.vir.sortedIndexed.bam	B8R2H_VFD_S140_L006.vir.sortedIndexed.bam	B8R2H_VFD_S57_L006.vir.sortedIndexed.bam	B8R2L_BULK_S147_L006.vir.sortedIndexed.bam	B8R2L_BULK_S64_L006.vir.sortedIndexed.bam	B8R2L_VFD_S139_L006.vir.sortedIndexed.bam	B8R2L_VFD_S56_L006.vir.sortedIndexed.bam
biochar_1588	25967	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
biochar_1589	25937	0.0000	0.0000	1.1656	13.7436	0.0000	0.0000	0.3627	11.1521	0.0000	0.0000	0.0435	15.4834	0.0000	0.0000	1.5603	18.0981	0.0000	0.0000	2.0293	20.5110	0.0000	0.0000	0.7034	0.0000	0.0055	1.2826	28.4576	0.0000	0.0000	0.9827	8.0618
biochar_1592	25902	0.0000	0.0000	0.9659	9.1289	0.0000	0.0108	1.2063	12.4733	0.0000	0.0000	0.2429	5.8118	0.0000	0.0000	1.2266	12.5158	0.0000	0.0000	1.1490	4.3196	0.0000	0.0000	0.7807	0.0000	0.0000	1.1237	9.8776	0.0000	0.0000	1.4601	6.7422
biochar_1593	25899	0.0000	0.0000	0.0001	0.2199	0.0000	0.0000	0.0000	0.5248	0.0000	0.0000	0.0000	0.4325	0.0000	0.0000	0.4577	0.3365	0.0000	0.0798	0.0000	0.5782	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.7986	0.0000	0.0000	0.1004	7.9678
biochar_1594	25895	0.0000	0.0000	0.0853	0.4894	0.0000	0.0000	0.0000	0.6374	0.0000	0.0000	0.0000	1.0114	0.0000	0.0000	0.0777	0.6570	0.0000	0.0000	0.1503	0.6387	0.0000	0.0000	0.2122	0.0000	0.0000	0.0993	1.0216	0.0000	0.0000	0.1205	1.6567
biochar_1595	25895	0.0000	0.0000	7.8069	0.0000	0.0000	0.0000	4.1831	0.0000	0.0133	0.0000	2.6599	0.0000	0.0000	0.0000	10.5307	0.0000	0.0177	0.0000	20.4428	0.0000	0.0000	0.0000	22.0917	0.0283	0.0000	4.9104	0.0000	0.0000	0.0000	12.9550	0.0411
biochar_1596	25888	0.0000	0.0000	0.5239	0.1401	0.0000	0.0000	1.3626	0.0000	0.0000	0.0000	0.4256	0.0000	0.0000	0.0000	0.1149	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.5579	0.0000	0.0000	0.3633	0.0000	0.0000	0.0000	2.8886	0.1577
biochar_1597	25879	0.0000	0.0000	10.2661	0.4847	0.0000	0.0000	0.0929	0.0000	0.0000	0.0000	0.9360	0.0264	0.0000	0.0000	0.0596	0.0000	0.0000	0.0000	0.0495	0.0000	0.0000	0.0000	1.0345	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0879	0.0000
biochar_1598	25871	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1108	0.0000	0.0000	0.8041	11.1361	0.0000	0.0000	0.0000	0.0000	0.1093	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
biochar_1599	25866	0.0000	0.0000	2.8777	1.4767	0.0000	0.0000	2.7855	1.9731	0.0000	0.0000	0.7603	1.9136	0.0000	0.0000	4.1988	1.3507	0.0000	0.0000	13.3361	4.8522	0.0000	0.0000	11.1287	0.0000	0.0000	6.0115	5.4591	0.0000	0.0000	11.7520	7.9916
biochar_1603	25828	0.0000	0.0000	2.3970	2.1238	0.0000	0.0000	2.6872	2.8817	0.0000	0.0000	0.5593	2.6186	0.0000	0.0000	3.1879	2.7039	0.0094	0.0000	8.1411	3.5103	0.0000	0.0000	5.2808	0.0000	0.0000	3.4647	6.2287	0.0000	0.0000	4.4980	4.8455
