contig	Length	B0H_BULK_S142_L006.vir.sortedIndexed.bam	B0H_BULK_S59_L006.vir.sortedIndexed.bam	B0H_VFD_S134_L006.vir.sortedIndexed.bam	B0H_VFD_S52_L006.vir.sortedIndexed.bam	B0L_BULK_S141_L006.vir.sortedIndexed.bam	B0L_BULK_S58_L006.vir.sortedIndexed.bam	B0L_VFD_S133_L006.vir.sortedIndexed.bam	B0L_VFD_S51_L006.vir.sortedIndexed.bam	B2R2H_BULK_S144_L006.vir.sortedIndexed.bam	B2R2H_BULK_S61_L006.vir.sortedIndexed.bam	B2R2H_VFD_S136_L006.vir.sortedIndexed.bam	B2R2H_VFD_S54_L006.vir.sortedIndexed.bam	B2R2L_BULK_S143_L006.vir.sortedIndexed.bam	B2R2L_BULK_S60_L006.vir.sortedIndexed.bam	B2R2L_VFD_S135_L006.vir.sortedIndexed.bam	B2R2L_VFD_S53_L006.vir.sortedIndexed.bam	B3R2H_BULK_S146_L006.vir.sortedIndexed.bam	B3R2H_BULK_S65_L006.vir.sortedIndexed.bam	B3R2H_VFD_S138_L006.vir.sortedIndexed.bam	B3R2H_VFD_S55_L006.vir.sortedIndexed.bam	B3R2L_BULK_S145_L006.vir.sortedIndexed.bam	B3R2L_BULK_S62_L006.vir.sortedIndexed.bam	B3R2L_VFD_S137_L006.vir.sortedIndexed.bam	B8R2H_BULK_S148_L006.vir.sortedIndexed.bam	B8R2H_BULK_S63_L006.vir.sortedIndexed.bam	B8R2H_VFD_S140_L006.vir.sortedIndexed.bam	B8R2H_VFD_S57_L006.vir.sortedIndexed.bam	B8R2L_BULK_S147_L006.vir.sortedIndexed.bam	B8R2L_BULK_S64_L006.vir.sortedIndexed.bam	B8R2L_VFD_S139_L006.vir.sortedIndexed.bam	B8R2L_VFD_S56_L006.vir.sortedIndexed.bam
biochar_1930	22608	22.0000	0.0000	3568.0000	65.0000	23.0000	0.0000	1267.0000	38.0000	30.0000	0.0000	379.0000	65.0000	22.0000	0.0000	2785.0000	75.0000	27.0000	0.0000	2985.0000	26.0000	38.0000	0.0000	2515.0000	30.0000	0.0000	1280.0000	43.0000	14.0000	0.0000	2661.0000	133.0000
biochar_1932	22591	2.0000	1.0000	242.0000	1821.0000	0.0000	0.0000	43.0000	85.0000	1.0000	7.0000	55.0000	254.0000	3.0000	0.0000	424.0000	304.0000	1.0000	0.0000	141.0000	269.0000	2.0000	1.0000	235.0000	2.0000	13.0000	77.0000	288.0000	0.0000	2.0000	165.0000	382.0000
biochar_1933	22589	60.0000	0.0000	3335.0000	4.0000	52.0000	0.0000	3649.0000	4.0000	55.0000	0.0000	3646.0000	9.0000	77.0000	0.0000	6948.0000	1.0000	14.0000	0.0000	6244.0000	2.0000	89.0000	0.0000	4478.0000	138.0000	0.0000	856.0000	2.0000	76.0000	0.0000	5798.0000	3.0000
biochar_1934	22573	2.0000	0.0000	296.0000	1156.0000	4.0000	6.0000	71.0000	731.0000	6.0000	12.0000	117.0000	2024.0000	4.0000	10.0000	319.0000	1257.0000	6.0000	12.0000	631.0000	1847.0000	0.0000	8.0000	465.0000	8.0000	10.0000	300.0000	2088.0000	4.0000	16.0000	708.0000	1584.0000
biochar_1935	22568	0.0000	0.0000	18.0000	14.0000	0.0000	2.0000	0.0000	2.0000	0.0000	0.0000	0.0000	2.0000	2.0000	2.0000	234.0000	636.0000	0.0000	0.0000	38.0000	79.0000	2.0000	0.0000	88.0000	0.0000	0.0000	2.0000	2.0000	0.0000	4.0000	298.0000	1462.0000
biochar_1936	22558	4.0000	0.0000	273.0000	722.0000	2.0000	0.0000	65.0000	57.0000	20.0000	4.0000	663.0000	1063.0000	2.0000	0.0000	565.0000	240.0000	2.0000	0.0000	1013.0000	387.0000	31.0000	0.0000	2387.0000	2.0000	2.0000	154.0000	463.0000	0.0000	0.0000	1694.0000	3602.0000
biochar_1938	22535	0.0000	6.0000	166.0000	414.0000	4.0000	16.0000	124.0000	761.0000	4.0000	0.0000	8.0000	171.0000	8.0000	14.0000	264.0000	1054.0000	7.0000	8.0000	373.0000	826.0000	4.0000	2.0000	98.0000	20.0000	12.0000	181.0000	1344.0000	8.0000	4.0000	180.0000	881.0000
biochar_1940	22526	2.0000	0.0000	364.0000	439.0000	14.0000	2.0000	575.0000	451.0000	4.0000	0.0000	76.0000	311.0000	12.0000	8.0000	1602.0000	1166.0000	22.0000	12.0000	2022.0000	1784.0000	7.0000	4.0000	987.0000	10.0000	11.0000	932.0000	1816.0000	6.0000	6.0000	1324.0000	2600.0000
biochar_1942	22480	0.0000	0.0000	104.0000	604.0000	2.0000	1.0000	249.0000	1003.0000	2.0000	4.0000	21.0000	616.0000	6.0000	6.0000	176.0000	1320.0000	4.0000	0.0000	533.0000	2123.0000	8.0000	10.0000	130.0000	10.0000	10.0000	170.0000	1087.0000	2.0000	10.0000	303.0000	573.0000
biochar_1943	22473	1.0000	0.0000	989.0000	57.0000	4.0000	0.0000	349.0000	6.0000	2.0000	0.0000	82.0000	32.0000	12.0000	0.0000	639.0000	105.0000	4.0000	0.0000	468.0000	181.0000	0.0000	1.0000	630.0000	4.0000	0.0000	254.0000	267.0000	2.0000	0.0000	276.0000	62.0000
biochar_1944	22470	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13.0000	3.0000	13.0000	0.0000	1323.0000	94.0000
biochar_1945	22470	22.0000	11.0000	63.0000	259.0000	20.0000	4.0000	30.0000	575.0000	20.0000	8.0000	36.0000	205.0000	4.0000	58.0000	82.0000	898.0000	35.0000	8.0000	110.0000	557.0000	2.0000	18.0000	40.0000	14.0000	52.0000	32.0000	1419.0000	18.0000	4.0000	62.0000	119.0000
biochar_1948	22427	0.0000	0.0000	150.0000	253.0000	0.0000	2.0000	127.0000	213.0000	0.0000	0.0000	40.0000	44.0000	2.0000	2.0000	229.0000	260.0000	2.0000	0.0000	233.0000	460.0000	2.0000	0.0000	438.0000	0.0000	0.0000	56.0000	274.0000	2.0000	0.0000	480.0000	2454.0000
biochar_1950	22424	2.0000	3.0000	73.0000	397.0000	4.0000	0.0000	72.0000	1198.0000	4.0000	0.0000	67.0000	890.0000	34.0000	4.0000	877.0000	841.0000	25.0000	2.0000	292.0000	527.0000	0.0000	3.0000	661.0000	10.0000	20.0000	248.0000	1924.0000	26.0000	19.0000	238.0000	1605.0000
